frame_number,keypoint_1,keypoint_2,keypoint_3,keypoint_4,keypoint_5,keypoint_6,keypoint_7,keypoint_8,keypoint_9,keypoint_10,keypoint_11,keypoint_12,keypoint_13,keypoint_14,keypoint_15,keypoint_16
1,0.33253303,0.0,0.35820344,0.0,0.3471749,0.36037624,0.3331388,0.0,0.28906333,0.0,0.34068623,0.345571,0.32434183,0.31384322,0.3985651,0.3638087
2,0.3317984,0.0,0.35401973,0.0,0.34668434,0.3587148,0.33587128,0.3456282,0.29362288,0.0,0.34205785,0.34681284,0.3237351,0.31518218,0.39240983,0.36460766
3,0.3282193,0.0,0.3516093,0.0,0.34681264,0.35863137,0.33455846,0.0,0.2914992,0.0,0.3429087,0.34829295,0.3226336,0.317085,0.38613182,0.36119342
4,0.32542717,0.0,0.34866294,0.0,0.3466327,0.35751903,0.33214867,0.34349188,0.29028675,0.0,0.34426332,0.34952357,0.32420304,0.31968194,0.37483022,0.35291946
5,0.32214513,0.0,0.34402257,0.0,0.34394288,0.35331428,0.33202317,0.3389742,0.29038548,0.28802997,0.34135053,0.34666115,0.320392,0.32247385,0.36343652,0.35782674
6,0.31782204,0.0,0.3387524,0.0,0.3392027,0.3606549,0.3252886,0.34093216,0.28208822,0.27877474,0.33675084,0.35069776,0.31416932,0.32643434,0.3526038,0.35416585
7,0.31744096,0.0,0.34074843,0.0,0.33830073,0.35581356,0.32331654,0.33594966,0.28188005,0.27723992,0.33503,0.34599343,0.3177347,0.3281199,0.34542015,0.34710985
8,0.31540826,0.0,0.33623633,0.0,0.33340913,0.35928455,0.31939065,0.0,0.28134596,0.0,0.33305603,0.35000828,0.31724265,0.33289412,0.34734255,0.352712
9,0.31653562,0.0,0.3390631,0.0,0.33548433,0.36016294,0.32237828,0.0,0.28218028,0.0,0.3373837,0.35308328,0.32225043,0.33730543,0.3531669,0.3589741
10,0.3153441,0.0,0.3338127,0.0,0.33137676,0.361924,0.31777966,0.0,0.28251213,0.0,0.3348359,0.35445884,0.32064494,0.33944038,0.35325474,0.36217028
11,0.31435764,0.0,0.34088823,0.0,0.33374783,0.35405,0.3170533,0.0,0.28574717,0.0,0.33656117,0.3498198,0.3256244,0.33724838,0.35821274,0.36712298
12,0.31220242,0.0,0.33881417,0.0,0.3341553,0.3521787,0.3211148,0.0,0.29000118,0.0,0.33910975,0.3508864,0.32907948,0.3391209,0.36113796,0.3662976
13,0.30983186,0.0,0.33517653,0.0,0.33281463,0.34531674,0.3230062,0.0,0.2899362,0.0,0.34170458,0.3505935,0.3319124,0.34224337,0.36033452,0.3693526
14,0.3016392,0.0,0.32944524,0.0,0.32818294,0.3579186,0.31592518,0.0,0.28021595,0.0,0.3390973,0.35871577,0.33233643,0.34940147,0.3626039,0.3737751
15,0.0,0.0,0.0,0.0,0.96755093,0.85928506,0.9732253,0.84110755,0.92123145,0.87309885,0.9442888,0.86731064,0.9470926,0.8329102,0.94822663,0.84435666
16,0.0,0.0,0.0,0.0,0.96978915,0.86141086,0.97528154,0.84556013,0.9235484,0.877303,0.94777304,0.8699537,0.9512967,0.83345866,0.95044416,0.8421511
17,0.0,0.0,0.0,0.0,0.97116137,0.86401075,0.9734009,0.85071003,0.9216271,0.88386637,0.95200723,0.87393373,0.95211345,0.83327496,0.9488574,0.83843446
18,0.2959805,0.0,0.31982037,0.0,0.32592466,0.3628066,0.3139428,0.0,0.26196942,0.3296528,0.34736496,0.3690555,0.3421724,0.3604527,0.3734834,0.37758136
19,0.29731157,0.0,0.3216746,0.0,0.3265514,0.3636455,0.31079143,0.0,0.26406738,0.0,0.34688056,0.37001723,0.34241307,0.35920927,0.3766418,0.37854022
20,0.29739472,0.0,0.31992605,0.0,0.326522,0.36697018,0.3128905,0.0,0.26540008,0.0,0.3476885,0.37430406,0.3402901,0.36350328,0.37807527,0.38544485
21,0.30026543,0.0,0.32232317,0.0,0.3277423,0.366046,0.30880123,0.0,0.25708747,0.0,0.3503157,0.37467194,0.343422,0.36573908,0.37919,0.38465956
22,0.30000177,0.0,0.32120442,0.0,0.32664075,0.36818162,0.30584216,0.0,0.24719343,0.0,0.3554546,0.3807991,0.3499538,0.3690928,0.38624418,0.38556942
23,0.3001745,0.0,0.32356894,0.0,0.3292362,0.36156392,0.3053087,0.0,0.24323596,0.28354087,0.35907102,0.37847131,0.3529466,0.36856577,0.3902462,0.38811824
